#,Assembly Constituency,Candidate,Party,Vote,Party,,
107,Aurangabad Central,Pradeep Jaiswal,Shiv Sena,82217,All India Majlis-E-Ittehadul Muslimeen,,
108,Aurangabad West,Sanjay Shirsat,Shiv Sena,83792,Independent,,
109,Aurangabad East,Atul Moreshwar Save,Bharatiya Janata Party,93966,All India Majlis-E-Ittehadul Muslimeen,,
110,Paithan,Sandipanrao Bhumre,Shiv Sena,83403,Nationalist Congress Party,,
111,Gangapur,Prashant Bamb,Bharatiya Janata Party,107193,Nationalist Congress Party,,
112,Vaijapur,Ramesh Bornare,Shiv Sena,98183,Nationalist Congress Party,,
113,Nandgaon,Suhas Kande,Shiv Sena,85275,Nationalist Congress Party,,
114,Malegaon Central,Mohammed Ismail Abdul Khalique,All India Majlis-E-Ittehadul Muslimeen,117242,Indian National Congress,,
115,Malegaon Outer,Dadaji Bhuse,Shiv Sena,121252,Indian National Congress,,
116,Baglan,Dilip Manglu Borse,Bharatiya Janata Party,94683,Indian National Congress,,
117,Kalvan,Nitin Arjun Pawar,Nationalist Congress Party,86877,Communist Party of India (Marxist),,
118,Chandvad,Dr. Rahul Daulatrao Aher,Bharatiya Janata Party,103454,Indian National Congress,,
119,Yewla,Chhagan Bhujbal,Nationalist Congress Party,126237,Shiv Sena,,
120,Sinnar,Adv. Manikrao Shivaji Kokate,Nationalist Congress Party,97011,Shiv Sena,,
121,Niphad,Diliprao Shankarrao Bankar,Nationalist Congress Party,96354,Shiv Sena,,
122,Dindori,Zirwal Narhari Sitaram,Nationalist Congress Party,124520,Shiv Sena,,
123,Nashik East,Adv. Rahul Uattamrao Dhikle,Bharatiya Janata Party,86304,Nationalist Congress Party,,
124,Nashik Central,Devayani Farande,Bharatiya Janata Party,73460,Indian National Congress,,
125,Nashik West,Seema Mahesh Hiray,Bharatiya Janata Party,78041,Nationalist Congress Party,,
126,Deolali,Saroj Babulal Ahire,Nationalist Congress Party,84326,Shiv Sena,,
127,Igatpuri,Hiraman Bhika Khoskar,Indian National Congress,86561,Shiv Sena,,
128,Dahanu,Vinod Bhiva Nikole,Communist Party of India (Marxist),72114,Bharatiya Janata Party,,
129,Vikramgad,Sunil Chandrakant Bhuasara,Nationalist Congress Party,88425,Bharatiya Janata Party,,
130,Palghar,Shrinivas Vanga,Shiv Sena,68040,Indian National Congress,,
131,Boisar,Rajesh Raghunath Patil,Bahujan Vikas Aghadi,78703,Shiv Sena,,
132,Nalasopara,Kshitij Thakur,Bahujan Vikas Aghadi,149868,Shiv Sena,,
133,Vasai,Hitendra Thakur,Bahujan Vikas Aghadi,102950,Shiv Sena,,
134,Bhiwandi Rural,Shantaram Tukaram More,Shiv Sena,83567,Maharashtra Navnirman Sena,,
135,Shahapur,Daulat Bhika Daroda,Nationalist Congress Party,76053,Shiv Sena,,
136,Bhiwandi West,Mahesh Prabhakar Choughule,Bharatiya Janata Party,58857,Independent,,
137,Bhiwandi East,Rais Kasam Shaikh,Samajwadi Party,45537,Shiv Sena,,
138,Kalyan West,Vishwanath Bhoir,Shiv Sena,65486,Independent,,
139,Murbad,Kisan Kathore,Bharatiya Janata Party,174068,Nationalist Congress Party,,
140,Ambernath,Balaji Kinikar,Shiv Sena,60083,Indian National Congress,,
141,Ulhasnagar,Kumar Uttamchand Ailani,Bharatiya Janata Party,43666,Nationalist Congress Party,,
142,Kalyan East,Ganpat Gaikwad,Bharatiya Janata Party,60332,Independent,,
143,Dombivli,Ravindra Chavan,Bharatiya Janata Party,86227,Maharashtra Navnirman Sena,,
144,Kalyan Rural,Pramod Ratan Patil,Maharashtra Navnirman Sena,93927,Shiv Sena,,
145,Mira Bhayandar,Geeta Bharat Jain,Independent,79575,Bharatiya Janata Party,,
146,Ovala-Majiwada,Pratap Sarnaik,Shiv Sena,117593,Indian National Congress,,
147,Kopri-Pachpakhadi,Eknath Shinde,Shiv Sena,113497,Indian National Congress,,
148,Thane,Sanjay Mukund Kelkar,Bharatiya Janata Party,92298,Maharashtra Navnirman Sena,,
149,Mumbra-Kalwa,Jitendra Awhad,Nationalist Congress Party,109283,Shiv Sena,,
150,Airoli,Ganesh Naik,Bharatiya Janata Party,114645,Nationalist Congress Party,,
151,Belapur,Manda Vijay Mhatre,Bharatiya Janata Party,87858,Nationalist Congress Party,,
152,Borivali,Sunil Rane,Bharatiya Janata Party,123712,Indian National Congress,,
153,Dahisar,Manisha Chaudhary,Bharatiya Janata Party,87607,Indian National Congress,,
154,Magathane,Prakash Surve,Shiv Sena,87607,Maharashtra Navnirman Sena,,
155,Mulund,Mihir Kotecha,Bharatiya Janata Party,87607,Maharashtra Navnirman Sena,,
156,Vikhroli,Sunil Raut,Shiv Sena,62794,Nationalist Congress Party,,
